Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Provision for Loan Losses;Non-Cash Items;Change in Working Capital;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Loans & Interbank;Net Cash from Acquisitions & Divestitures;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Effect of Foreign Exchange Rates;Net Change in Cash
ABTX;953887;USD;2020;Q1;2020-03-31;2020-05-01;2021-04-29;20411000;20690000;3516000;1856000;10990000;-219000;-5733000;10410000;-1025000;-49052000;;-172174000;-2033000;583000;-8145000;-9595000;;-171359000
ABTX;953887;USD;2020;Q2;2020-06-30;2020-07-31;2021-04-29;20414000;20514000;9907000;1875000;10669000;-1151000;-8577000;12723000;879000;-638402000;;-731723000;-2042000;310344000;313000;810511000;;91511000
ABTX;953887;USD;2020;Q3;2020-09-30;2020-11-06;2021-07-29;20439000;20532000;16170000;1935000;1347000;2251000;-7210000;14493000;-1347000;-3310000;;-48712000;-2027000;98165000;257000;114967000;;80748000
ABTX;953887;USD;2020;Q4;2020-12-31;2021-03-10;2021-10-28;20396000;20448000;15941000;1972000;4368000;-422000;1578000;23437000;-1662000;97971000;;-8495000;-2063000;139310000;-8438000;60676000;;75618000
ABTX;953887;USD;2021;Q1;2021-03-31;2021-04-29;2022-04-29;20140000;20342000;18010000;1858000;639000;1300000;-561000;21246000;7128000;-167253000;;-190703000;-2412000;168211000;-4332000;371021000;;201564000
ABTX;953887;USD;2021;Q2;2021-06-30;2021-07-29;2022-04-29;20140000;20342000;22925000;1881000;-2679000;3824000;-3220000;22731000;-8714000;205601000;;14515000;-2426000;-7280000;494000;49709000;;86955000
ABTX;953887;USD;2021;Q3;2021-09-30;2021-10-28;2022-07-29;20260000;20423000;19060000;1884000;2295000;3790000;10650000;37679000;-541000;170871000;;-76430000;-2427000;119902000;111000;231227000;;192476000
ABTX;953887;USD;2021;Q4;2021-12-31;2022-02-25;2021-10-28;20260000;20423000;21558000;1927000;-2577000;5417000;-600000;25725000;933000;66687000;;-502206000;-2432000;174379000;1880000;330229000;;-146252000
ABTX;953887;USD;2022;Q1;2022-03-31;2022-04-29;2022-04-29;20260000;20423000;18657000;1784000;1814000;3439000;-9638000;16056000;-184000;-63268000;;-186601000;-2853000;4185000;569000;112420000;;-58125000
ABTX;953887;USD;2022;Q2;2022-06-30;2022-07-29;2022-04-29;20363000;20526000;16437000;1763000;2143000;3153000;1306000;24802000;-211000;-60513000;;-47539000;-2856000;-412795000;-9274000;-383810000;;-406547000
ACBI;9076197;USD;2020;Q1;2020-03-31;2020-05-08;2021-05-07;21689038;21842175;2124000;898000;8074000;6576000;44000;17716000;-1039000;-65909000;;-136001000;;75000000;-6751000;-205678000;;-323963000
ACBI;9076197;USD;2020;Q2;2020-06-30;2020-08-07;2021-08-06;21472462;21535040;1849000;1588000;8863000;11472000;1587000;25359000;-1169000;-264305000;;-264439000;;-19000000;0;163512000;;-75568000
ACBI;9076197;USD;2020;Q3;2020-09-30;2020-11-06;2021-11-05;21500735;21543805;8618000;1240000;28000;11552000;14807000;36245000;-1105000;-14529000;;-14555000;;-31000000;-4620000;25471000;;47161000
ACBI;9076197;USD;2020;Q4;2020-12-31;2021-03-16;2021-11-05;20706109;20789868;9949000;1419000;481000;17014000;12074000;40937000;962000;-77894000;;-182846000;;0;-11432000;681353000;;539444000
ACBI;9076197;USD;2021;Q1;2021-03-31;2021-05-07;2021-05-07;20380066;20502184;13362000;1427000;-4519000;12980000;17452000;40702000;-98000;-64167000;;-161026000;;;-3446000;112738000;;-7586000
ACBI;9076197;USD;2021;Q2;2021-06-30;2021-08-06;2021-08-06;20332503;20516478;11816000;1574000;-933000;12128000;30946000;55531000;-65000;24098000;;-100033000;;;-1121000;27411000;;-17091000
ACBI;9076197;USD;2021;Q3;2021-09-30;2021-11-05;2021-11-05;20305109;20590747;13304000;1730000;-2405000;13508000;2068000;28205000;78000;-21463000;;-100286000;;;0;421097000;;349016000
AJX;90767;USD;2020;Q1;2020-03-31;2020-05-06;2021-05-07;22070354;22189984;1496000;8000;;-2769000;-29144000;-30409000;3017000;68851000;;11015000;;-30775000;-55440000;-13771000;;-33165000
AJX;90767;USD;2020;Q2;2020-06-30;2020-08-05;2021-05-07;22808943;22929849;8818000;8000;;-14122000;25473000;20177000;4302000;41485000;;45968000;-5748000;-21879000;21129000;66269000;;132414000
AJX;90767;USD;2020;Q3;2020-09-30;2020-11-06;2021-08-06;22844192;22989616;8892000;7000;;-9780000;5058000;4177000;1782000;-688000;;-42836000;-5873000;2775000;-109341000;10426000;;-28233000
AJX;90767;USD;2020;Q4;2020-12-31;2021-03-05;2021-11-05;22843055;22457095;14402000;-23000;;-9700000;-12681000;-8002000;1999000;7765000;;325382000;-5878000;-337901000;268323000;-345592000;;-28212000
AJX;90767;USD;2021;Q1;2021-03-31;2021-05-07;2022-05-06;22816978;22816978;10642000;3000;;-6705000;-13314000;-9374000;1587000;7856000;;22863000;-5799000;163366000;-205644000;16941000;;30430000
AJX;90767;USD;2021;Q2;2021-06-30;2021-08-06;2022-05-06;22816978;22816978;11170000;3000;;-7636000;-17087000;-13550000;3388000;82101000;;-11938000;-6326000;-92307000;-64638000;-23957000;;-49445000
AJX;90767;USD;2021;Q3;2021-09-30;2021-11-05;2021-08-06;22862429;30407649;10684000;-6000;;-8320000;5542000;7900000;860000;153910000;;420227000;-6806000;-440577000;270547000;-420882000;;7245000
AJX;90767;USD;2021;Q4;2021-12-31;2022-03-04;2022-11-04;22862429;30407649;9279000;;;-5692000;-6799000;-3212000;731000;-206038000;;79276000;-9843000;-76926000;211000;-87015000;;-10951000
AJX;90767;USD;2022;Q1;2022-03-31;2022-05-06;2023-05-05;22905267;30439064;5631000;;;-1783000;-14914000;-11066000;121000;74641000;-6090000;69024000;-7966000;-39422000;-29371000;-71662000;;-13704000
AJX;90767;USD;2022;Q2;2022-06-30;2022-08-04;2023-05-05;22905267;30439064;-4781000;;;3863000;14464000;13546000;644000;61398000;0;60819000;-7940000;-33787000;-142451000;-93515000;;-19150000
AJX;90767;USD;2022;Q3;2022-09-30;2022-11-04;2023-11-03;22538891;22833465;-9503000;;;5863000;5195000;1555000;3237000;36337000;0;80832000;-7229000;86105000;-178543000;-61063000;;21324000
AJX;90767;USD;2022;Q4;2022-12-31;2023-03-03;2023-11-03;22852948;30262467;-6283000;;;-193000;3576000;-2900000;948000;-36478000;289000;196306000;-6812000;-299179000;225820000;-218457000;;-25051000
AJX;90767;USD;2023;Q1;2023-03-31;2023-05-05;2024-05-03;22920943000;22920943000;-7364000;;;917000;-10358000;-16805000;1052000;32129000;-726000;63506000;-6425000;-13915000;-38151000;-45149000;;1552000
AJX;90767;USD;2023;Q2;2023-06-30;2023-08-04;2024-05-03;23250725;23565351;-11462000;;;3173000;1458000;-6831000;822000;41408000;726000;24752000;-5252000;-73491000;41105000;-27002000;;-9081000
AJX;90767;USD;2023;Q3;2023-09-30;2023-11-03;2024-08-02;24001702;24244147;-5517000;;;-3360000;-1867000;-10744000;869000;84526000;;60726000;-5334000;42698000;14227000;-26388000;;23594000
AJX;90767;USD;2023;Q4;2023-12-31;2024-02-28;2024-11-01;24286999;24286999;-22614000;;;7839000;2691000;-12084000;-2743000;22560000;-980000;23836000;-3575000;-13784000;11000000;-22828000;;-11076000
AJX;90767;USD;2024;Q1;2024-03-31;2024-05-03;2025-05-02;30700278;30893391;-73992000;;;61182000;4584000;-8226000;;85422000;;92693000;-3699000;-11833000;;-37247000;;47220000
AJX;90767;USD;2024;Q2;2024-06-30;2024-08-02;2025-05-02;39344128;39344128;-12861000;;;8051000;21055000;16245000;;293449000;;290410000;-2219000;-227887000;14000000;-334683000;;-28028000
AJX;90767;USD;2024;Q3;2024-09-30;2024-11-01;2025-07-31;45327254;45327254;-7954000;;;3760000;-1108000;-5302000;;91326000;;45214000;-2736000;-9871000;0;-27922000;;11990000
AJX;90767;USD;2024;Q4;2024-12-31;2025-02-18;2025-11-04;45410256;45410256;1757000;;;-8315000;4131000;-2427000;7189000;23131000;;-131042000;-2791000;-8605000;0;113705000;;-19764000
ALRS;10656542;USD;2023;Q1;2023-03-31;2023-05-08;2024-05-02;20028000;20246000;8186000;2130000;550000;-6835000;-6414000;-2383000;-901000;-42801000;;-17256000;-3620000;-5935000;-361000;106578000;;86939000
ALRS;10656542;USD;2023;Q2;2023-06-30;2023-08-03;2024-05-02;20033000;20241000;9104000;2109000;0;-513000;3683000;14383000;-162000;-46494000;;-28127000;-3805000;119915000;-2953000;-65966000;;-79710000
ALRS;10656542;USD;2023;Q3;2023-09-30;2023-11-02;2024-08-08;19872000;20095000;9161000;2139000;0;1337000;167000;12804000;-360000;-78980000;;-51433000;-3615000;23410000;-1242000;37882000;;-747000
ALTA;363174;USD;2020;Q1;2020-03-31;2020-05-11;2021-05-10;18884857;19038127;10773000;876000;650000;52069000;-57052000;7316000;-1061000;39573000;;-122694000;-2646000;;159000;61024000;;-54354000
ALTA;363174;USD;2020;Q2;2020-06-30;2020-08-07;2021-05-10;18789561;18932511;10338000;946000;2100000;75785000;-82709000;6460000;50000;-17516000;;-412453000;-2631000;83490000;23000;572203000;;166210000
ALTA;363174;USD;2020;Q3;2020-09-30;2020-11-06;2021-08-09;18796401;18934123;11340000;4389000;0;90601000;-102776000;3554000;-732000;-39305000;;-203464000;-2443000;0;60000;101057000;;-98853000
ALTA;363174;USD;2020;Q4;2020-12-31;2021-03-15;2020-11-06;18814625;18957735;11051000;-2562000;0;140147000;-114548000;34088000;-493000;1308000;;-197137000;-2823000;-18936000;169000;177939000;;14890000
ALTA;363174;USD;2021;Q1;2021-03-31;2021-05-10;2021-05-10;18864497;19019682;9438000;715000;;125844000;-113468000;22529000;-344000;-101688000;;-326074000;-2830000;-64554000;-81000;175213000;;-128332000
ALTA;363174;USD;2021;Q2;2021-06-30;2021-08-09;2021-05-10;18864497;19019682;12700000;692000;-5000000;85032000;-78840000;14584000;-190000;-76398000;;-57709000;-2832000;0;23000;-5088000;;-48213000
AMNB;7962980;USD;2020;Q1;2020-03-31;2020-05-08;2021-05-07;11025185;11031310;8542000;723000;953000;24868000;-27325000;7761000;-907000;-23295000;;18303000;-2956000;21027000;-4952000;3924000;;29988000
AMNB;7962980;USD;2020;Q2;2020-06-30;2020-08-06;2021-08-06;10959545;10963248;5482000;322000;4759000;40823000;-46518000;4868000;-463000;-246324000;;-225212000;-2960000;104249000;1000;362379000;;142035000
AMNB;7962980;USD;2020;Q3;2020-09-30;2020-11-05;2021-11-09;10966645;10969901;7227000;553000;2619000;44834000;-46637000;8596000;-976000;15969000;;-21539000;-2958000;43252000;0;31609000;;18666000
AMNB;7962980;USD;2020;Q4;2020-12-31;2021-03-08;2023-03-14;10975117;10978701;8794000;590000;585000;40115000;-51083000;-999000;-347000;69654000;;-39000000;-2968000;130948000;13000;138348000;;98349000
AMNB;7962980;USD;2021;Q1;2021-03-31;2021-05-07;2022-05-09;10971466;10976177;11289000;986000;;38757000;-37377000;13655000;-242000;37381000;;15894000;-2955000;-56401000;-1594000;13331000;;42880000
AMNB;7962980;USD;2021;Q2;2021-06-30;2021-08-06;2022-08-05;10919333;10923156;10766000;973000;-1352000;43480000;-43115000;10752000;-449000;66881000;;-5647000;-2938000;77883000;-3151000;119882000;;124987000
AMNB;7962980;USD;2021;Q3;2021-09-30;2021-11-09;2022-11-08;10833875;10836293;10178000;1010000;482000;36705000;-34922000;13453000;1808000;-24578000;;-114568000;-2914000;70939000;-3312000;77279000;;-23836000
AMNB;7962980;USD;2021;Q4;2021-12-31;2022-03-14;2024-03-15;10770594;10773298;11293000;1120000;-1955000;28244000;-25712000;12990000;-86000;95966000;;42153000;-3020000;-99921000;-664000;-60976000;;-5833000
AMNB;7962980;USD;2022;Q1;2022-03-31;2022-05-09;2023-05-10;10754287;10756902;8999000;547000;-758000;26982000;-20904000;14866000;-362000;-39594000;;-65454000;-3006000;20081000;-3383000;26788000;;-23800000
AMNB;7962980;USD;2022;Q2;2022-06-30;2022-08-05;2023-05-10;10688294;10690496;8140000;573000;581000;19646000;-28268000;672000;-153000;-40527000;;-39001000;-2989000;-118909000;-1932000;-107166000;;-145495000
AMNB;7962980;USD;2022;Q3;2022-09-30;2022-11-08;2023-11-08;10640952;10643073;9256000;567000;615000;17254000;-11339000;16353000;-375000;-88060000;;-87045000;-2966000;-136337000;-2059000;-175903000;;-246595000
