Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Non-Cash Items;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Investments;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Effect of Foreign Exchange Rates;Net Change in Cash
AAME;450021;USD;2020;Q1;2020-03-31;2020-05-11;2021-05-11;20470000;20470000;-8087000;251000;7094000;-10512000;;;5954000;;;3000;3000;;-4555000
AAME;450021;USD;2020;Q2;2020-06-30;2020-08-11;2021-05-11;20440000;21818000;6532000;252000;-1818000;11070000;;;-3046000;;;2000;-8000;;8016000
AAME;450021;USD;2020;Q3;2020-09-30;2020-11-10;2021-08-10;20438000;21816000;1876000;269000;52000;-1462000;;;-5873000;;;2000;-79000;;-7414000
AAME;450021;USD;2020;Q4;2020-12-31;2021-03-23;2021-11-10;20416000;23172000;11848000;208000;-9949000;9875000;;;901000;-399000;;2000;-397000;;10379000
AAME;450021;USD;2021;Q1;2021-03-31;2021-05-11;2022-05-11;20415000;20415000;-431000;264000;-1493000;-6044000;;;7169000;;;2000;2000;;1127000
AAME;450021;USD;2021;Q2;2021-06-30;2021-08-10;2022-05-11;20414000;20414000;2962000;246000;-3785000;-7842000;;;-2642000;-408000;;2000;-430000;;-10914000
AAME;450021;USD;2021;Q3;2021-09-30;2021-11-10;2022-08-12;20401000;20401000;-915000;243000;-1904000;4332000;-89000;19261000;590000;0;;2000;-127000;;4795000
AAME;450021;USD;2021;Q4;2021-12-31;2022-03-25;2022-11-08;20500000;22208333;2665000;250000;-733000;10642000;-18000;9923000;183000;-399000;;0;-399000;;10426000
AAME;450021;USD;2022;Q1;2022-03-31;2022-05-11;2023-06-30;20500000;22208333;2842000;240000;-1976000;-8007000;-1000;-5008000;-1134000;;;;;;-9141000
AAME;450021;USD;2022;Q2;2022-06-30;2022-08-12;2023-06-30;20380000;21758000;-1679000;225000;688000;3591000;-67000;5229000;-3870000;-408000;1000000;;577000;;298000
