Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Provision for Loan Losses;Net Revenue after Provisions;Total Non-Interest Expense;Operating Income (Loss);Non-Operating Income (Loss);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
ABTX;953887;USD;2020;Q1;2020-03-31;2020-05-01;2021-04-29;20411000;20690000;47750000;-10990000;36760000;-32401000;4359000;;4359000;-843000;3516000;;3516000;3516000
ABTX;953887;USD;2020;Q2;2020-06-30;2020-07-31;2021-07-29;20414000;20514000;52409000;-10669000;41740000;-29779000;11961000;;11961000;-2054000;9907000;;9907000;9907000
ABTX;953887;USD;2020;Q3;2020-09-30;2020-11-06;2021-10-28;20439000;20532000;53759000;-1347000;52412000;-32565000;19847000;;19847000;-3677000;16170000;;16170000;16170000
ABTX;953887;USD;2020;Q4;2020-12-31;2021-03-10;2021-10-28;20396000;20448000;56921000;-4368000;52553000;-32749000;19804000;;19804000;-3863000;15941000;;15941000;15941000
ABTX;953887;USD;2021;Q1;2021-03-31;2021-04-29;2022-04-29;20140000;20342000;57434000;-639000;56795000;-34919000;21876000;;21876000;-3866000;18010000;;18010000;18010000
ABTX;953887;USD;2021;Q2;2021-06-30;2021-07-29;2022-07-29;20140000;20342000;58869000;2679000;61548000;-33595000;27953000;;27953000;-5028000;22925000;;22925000;22925000
ABTX;953887;USD;2021;Q3;2021-09-30;2021-10-28;2021-10-28;20260000;20423000;60265000;-2295000;57970000;-34296000;23674000;;23674000;-4614000;19060000;;19060000;19060000
ABTX;953887;USD;2021;Q4;2021-12-31;2022-02-25;2021-10-28;20260000;20423000;60558000;2577000;63135000;-34733000;28402000;;26391000;-4833000;21558000;;21558000;21558000
ABTX;953887;USD;2022;Q1;2022-03-31;2022-04-29;2022-04-29;20260000;20423000;59190000;-1814000;57376000;-34066000;23310000;;22859000;-4202000;18657000;;18657000;18657000
ABTX;953887;USD;2022;Q2;2022-06-30;2022-07-29;2022-07-29;20363000;20526000;60186000;-2143000;58043000;-36237000;21806000;;20139000;-3702000;16437000;;16437000;16437000
ACBI;9076197;USD;2020;Q1;2020-03-31;2020-05-08;2021-05-07;21689038;21842175;23402000;-8074000;15328000;-12877000;2451000;;2451000;-327000;2124000;;2124000;2124000
ACBI;9076197;USD;2020;Q2;2020-06-30;2020-08-07;2021-08-06;21472462;21535040;23974000;-8863000;15111000;-12904000;2207000;;2207000;-358000;1849000;;1849000;1849000
ACBI;9076197;USD;2020;Q3;2020-09-30;2020-11-06;2021-11-05;21500735;21543805;24222000;-28000;24194000;-13713000;10481000;;10481000;-1863000;8618000;;8618000;8618000
ACBI;9076197;USD;2020;Q4;2020-12-31;2021-03-16;2021-11-05;20706109;20789868;25660000;-481000;25179000;-13165000;12014000;;12014000;-2065000;9949000;;9949000;9949000
ACBI;9076197;USD;2021;Q1;2021-03-31;2021-05-07;2021-05-07;20380066;20502184;26907000;4519000;31426000;-15149000;16277000;;16277000;-2915000;13362000;;13362000;13362000
ACBI;9076197;USD;2021;Q2;2021-06-30;2021-08-06;2021-08-06;20332503;20516478;29244000;933000;30177000;-15197000;14980000;;14980000;-3164000;11816000;;11816000;11816000
ACBI;9076197;USD;2021;Q3;2021-09-30;2021-11-05;2021-11-05;20305109;20590747;29378000;2405000;31783000;-15018000;16765000;;16765000;-3461000;13304000;;13304000;13304000
AJX;90767;USD;2020;Q1;2020-03-31;2020-05-06;2021-05-07;22070354;22189984;13453000;-4711000;8742000;-6452000;2290000;;1177000;319000;1496000;;400000;400000
AJX;90767;USD;2020;Q2;2020-06-30;2020-08-05;2021-08-06;22808943;22929849;16327000;;16327000;-6139000;10188000;;8938000;-120000;8818000;;8083000;6242000
AJX;90767;USD;2020;Q3;2020-09-30;2020-11-06;2021-11-05;22844192;22989616;16742000;;16742000;-5847000;10895000;;8876000;16000;8892000;;7230000;5280000
AJX;90767;USD;2020;Q4;2020-12-31;2021-03-05;2021-11-05;22843055;22457095;22505000;;22505000;2246000;24751000;;14578000;-176000;14402000;;12783000;10834000
AJX;90767;USD;2021;Q1;2021-03-31;2021-05-07;2022-05-06;22816978;22816978;14250000;5516000;19766000;-6235000;13531000;;10676000;-34000;10642000;;8953000;7004000
AJX;90767;USD;2021;Q2;2021-06-30;2021-08-06;2022-08-05;22816978;22816978;19794000;;19794000;-3925000;15869000;;11237000;-67000;11170000;;12328000;10378000
AJX;90767;USD;2021;Q3;2021-09-30;2021-11-05;2022-11-04;22862429;30407649;18991000;;18991000;-3420000;15571000;;10786000;-102000;10684000;;11262000;9313000
AJX;90767;USD;2021;Q4;2021-12-31;2022-03-04;2022-11-04;22862429;30407649;19397000;;19397000;-4556000;14841000;;9369000;-90000;9279000;;9312000;7362000
AJX;90767;USD;2022;Q1;2022-03-31;2022-05-06;2023-05-05;22905267;30439064;18944000;;18944000;-3873000;15071000;;5605000;26000;5631000;;5535000;3586000
AJX;90767;USD;2022;Q2;2022-06-30;2022-08-05;2023-08-04;22905267;30439064;9949000;961000;10910000;-3801000;7109000;;-4522000;-259000;-4781000;;-4797000;-9181000
AJX;90767;USD;2022;Q3;2022-09-30;2022-11-04;2023-11-03;22538891;22833465;10522000;;10522000;-3977000;6545000;;-7133000;-2370000;-9503000;;-9461000;-16249000
AJX;90767;USD;2022;Q4;2022-12-31;2023-03-03;2023-11-03;22852948;30262467;1375000;;1375000;-4273000;-2898000;;-6051000;-232000;-6283000;;-6288000;-6835000
AJX;90767;USD;2023;Q1;2023-03-31;2023-05-05;2024-05-03;22920943000;22920943000;1535000;;1535000;-4408000;-2873000;;-7271000;-93000;-7364000;;-7394000;-7941000
AJX;90767;USD;2023;Q2;2023-06-30;2023-08-04;2024-08-02;23250725;23565351;-2414000;;-2414000;-5027000;-7441000;;-11281000;-181000;-11462000;;-11486000;-12034000
AJX;90767;USD;2023;Q3;2023-09-30;2023-11-03;2024-11-01;24001702;24244147;2268000;;2268000;-6114000;-3846000;;-5617000;100000;-5517000;;-5542000;-6089000
AJX;90767;USD;2023;Q4;2023-12-31;2024-02-28;2024-11-01;24286999;24286999;-6602000;;-6602000;-6894000;-13496000;;-22545000;-69000;-22614000;;-22649000;-23197000
AJX;90767;USD;2024;Q1;2024-03-31;2024-05-03;2025-05-02;30700278;30893391;-49381000;;-49381000;-22343000;-71724000;;-73077000;-915000;-73992000;;-73978000;-74319000
AJX;90767;USD;2024;Q2;2024-06-30;2024-08-02;2025-07-31;39344128;39344128;348000;;348000;-11923000;-11575000;;-13633000;772000;-12861000;;-12742000;-12742000
AJX;90767;USD;2024;Q3;2024-09-30;2024-11-01;2025-11-04;45327254;45327254;3688000;;3688000;-9099000;-5411000;;-7980000;23000;-7957000;;-8029000;-8029000
AJX;90767;USD;2024;Q4;2024-12-31;2025-02-18;2025-11-04;45410256;45410256;-2530000;;-2530000;-1745000;-4275000;;1783000;-26000;1757000;;2912000;2913000
ALRS;10656542;USD;2023;Q1;2023-03-31;2023-05-08;2024-05-02;20028000;20246000;48911000;-550000;48361000;-37869000;10492000;;10492000;-2306000;8186000;;8186000;8186000
ALRS;10656542;USD;2023;Q2;2023-06-30;2023-08-03;2024-08-08;20033000;20241000;48012000;;48012000;-36373000;11639000;;11639000;-2535000;9104000;;9104000;9104000
ALRS;10656542;USD;2023;Q3;2023-09-30;2023-11-02;2024-10-31;19872000;20095000;48802000;;48802000;-37260000;11542000;;11542000;-2381000;9161000;;9161000;9161000
ALTA;363174;USD;2020;Q1;2020-03-31;2020-05-11;2021-05-10;18884857;19038127;30961000;-650000;30311000;-16161000;14150000;;14150000;-3377000;10773000;;10773000;10773000
ALTA;363174;USD;2020;Q2;2020-06-30;2020-08-07;2021-08-09;18789561;18932511;31905000;-2100000;29805000;-16275000;13530000;;13530000;-3192000;10338000;;10338000;10338000
ALTA;363174;USD;2020;Q3;2020-09-30;2020-11-06;2020-11-06;18796401;18934123;31913000;;31913000;-16869000;15044000;;15044000;-3704000;11340000;;11340000;11340000
ALTA;363174;USD;2020;Q4;2020-12-31;2021-03-15;2020-11-06;18814625;18957735;32807000;0;32807000;-16843000;15964000;;14523000;-3472000;11051000;;11051000;11051000
