Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Total Claims & Losses;Operating Income (Loss);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Affiliates, Net of Taxes;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
AAME;450021;USD;2020;Q1;2020-03-31;2020-05-11;2021-05-11;20470000;20470000;39410000;-33583000;-9751000;-10227000;2140000;;-8087000;;-8087000;-8186000
AAME;450021;USD;2020;Q2;2020-06-30;2020-08-11;2021-08-10;20440000;21818000;49737000;-27076000;8695000;8281000;-1749000;;6532000;;6532000;6432000
AAME;450021;USD;2020;Q3;2020-09-30;2020-11-10;2021-11-10;20438000;21816000;46269000;-29219000;2796000;2433000;-557000;;1876000;;1876000;1776000
AAME;450021;USD;2020;Q4;2020-12-31;2021-03-23;2021-11-10;20416000;23172000;59932000;-29998000;15373000;15016000;-3168000;;11848000;;11848000;11748000
AAME;450021;USD;2021;Q1;2021-03-31;2021-05-11;2022-05-11;20415000;20415000;49075000;-33272000;-201000;-547000;116000;;-431000;;-431000;-530000
AAME;450021;USD;2021;Q2;2021-06-30;2021-08-10;2022-08-12;20414000;20414000;51457000;-31703000;4101000;3754000;-792000;;2962000;;2962000;2862000
AAME;450021;USD;2021;Q3;2021-09-30;2021-11-10;2022-11-08;20401000;20401000;49290000;-35045000;-946000;-1293000;378000;;-915000;;-915000;-1015000
AAME;450021;USD;2021;Q4;2021-12-31;2022-03-25;2022-11-08;20500000;22208333;49732000;-31674000;3735000;3388000;-723000;;2665000;;2665000;2565000
AAME;450021;USD;2022;Q1;2022-03-31;2022-05-11;2023-06-30;20500000;22208333;51608000;-31169000;4150000;3796000;-954000;;2842000;;2842000;2743000
AAME;450021;USD;2022;Q2;2022-06-30;2022-08-12;2023-08-08;20380000;21758000;44669000;-32753000;-1701000;-2115000;436000;;-1679000;;-1679000;-1779000
AAME;450021;USD;2022;Q3;2022-09-30;2022-11-08;2023-11-13;20402000;20402000;46343000;-30630000;-426000;-949000;265000;;-684000;;-684000;-784000
AAME;450021;USD;2022;Q4;2022-12-31;2023-04-01;2023-11-13;20278000;20278000;45231000;-28904000;2025000;1364000;-318000;;1046000;;1046000;946000
AAME;450021;USD;2023;Q1;2023-03-31;2023-06-30;2024-05-14;20407000;20407000;46269000;-30460000;-1068000;-1818000;372000;;-1446000;;-1446000;-1545000
AAME;450021;USD;2023;Q2;2023-06-30;2023-08-08;2024-08-14;20404000;21782000;49188000;-29365000;3024000;2217000;-473000;;1744000;;1744000;1644000
AAME;450021;USD;2023;Q3;2023-09-30;2023-11-13;2024-11-12;20402000;21780000;44591000;-26818000;2988000;2138000;-379000;;1759000;;1759000;1659000
AAME;450021;USD;2023;Q4;2023-12-31;2024-04-01;2024-11-12;20403000;20403000;46745000;-35857000;-2240000;-3102000;874000;;-2228000;;-2228000;-2328000
AAME;450021;USD;2024;Q1;2024-03-31;2024-05-14;2025-05-13;20402000;20402000;46997000;-31925000;-1651000;-2506000;508000;;-1998000;;-1998000;-2097000
AAME;450021;USD;2024;Q2;2024-06-30;2024-08-14;2025-08-12;20400000;20400000;47668000;-31807000;18000;-849000;165000;;-684000;;-684000;-784000
AAME;450021;USD;2024;Q3;2024-09-30;2024-11-12;2025-11-14;20400000;20400000;44519000;-30760000;-1585000;-2454000;456000;;-1998000;;-1998000;-2098000
AAME;450021;USD;2024;Q4;2024-12-31;2025-03-25;2025-11-14;20398000;20398000;49043000;-31339000;1373000;545000;-133000;;412000;;412000;312000
ACGL;445596;USD;2020;Q1;2020-03-31;2020-05-08;2021-05-06;403892161;414033570;1525312000;-1115419000;-109361000;-69245000;-27945000;8516000;-88674000;;144117000;133714000
ACGL;445596;USD;2020;Q2;2020-06-30;2020-08-06;2021-08-05;402503687;408119681;2295008000;-1230522000;566039000;495689000;-26127000;-3173000;466389000;;298821000;288418000
ACGL;445596;USD;2020;Q3;2020-09-30;2020-11-05;2021-11-04;402850485;409194657;2312251000;-1216273000;597698000;511470000;-23707000;919000;488682000;;419039000;408636000
ACGL;445596;USD;2020;Q4;2020-12-31;2021-02-26;2021-11-04;403002383;409689912;2375938000;-1127385000;733497000;622869000;-34059000;10504000;599314000;;543544000;533141000
ACGL;445596;USD;2021;Q1;2021-03-31;2021-05-06;2022-05-04;400807895;409223253;2265794000;-1203100000;457394000;439111000;-38860000;75457000;475708000;;438156000;427753000
ACGL;445596;USD;2021;Q2;2021-06-30;2021-08-05;2022-08-03;400807895;409223253;2569996000;-1159831000;798842000;745367000;-51179000;24476000;718664000;;675486000;663820000
ACGL;445596;USD;2021;Q3;2021-09-30;2021-11-04;2022-11-03;389274220;397903347;2101204000;-1226019000;298531000;301433000;-4137000;124119000;421415000;;419942000;388751000
ACGL;445596;USD;2021;Q4;2021-12-31;2022-02-25;2022-11-03;389274220;397903347;2311006000;-996050000;646233000;617089000;-33824000;39948000;623213000;;623416000;613676000
ACGL;445596;USD;2022;Q1;2022-03-31;2022-05-04;2023-05-04;374243812;384194363;1942000000;-1001000000;214000000;185000000;-12000000;25000000;198000000;;196000000;186000000
ACGL;445596;USD;2022;Q2;2022-06-30;2022-08-03;2023-08-02;369241193;377952988;2214000000;-1103000000;366000000;421000000;-22000000;5000000;404000000;;404000000;394000000
ACGL;445596;USD;2022;Q3;2022-09-30;2022-11-03;2023-11-09;365190527;373727277;2386000000;-1683000000;27000000;-6000000;15000000;9000000;18000000;;17000000;7000000
ACGL;445596;USD;2022;Q4;2022-12-31;2023-02-24;2023-11-09;365773256;374564440;3071000000;-1241000000;817000000;887000000;-61000000;36000000;862000000;;859000000;849000000
ACGL;445596;USD;2023;Q1;2023-03-31;2023-05-04;2024-05-09;367300000;377600000;3168000000;-1471000000;792000000;742000000;-64000000;39000000;717000000;;719000000;709000000
ACGL;445596;USD;2023;Q2;2023-06-30;2023-08-02;2024-08-06;368700000;378400000;3162000000;-1491000000;752000000;714000000;-67000000;22000000;669000000;;667000000;657000000
ACGL;445596;USD;2023;Q3;2023-09-30;2023-11-09;2024-11-07;369200000;379400000;3329000000;-1647000000;753000000;741000000;-72000000;54000000;723000000;;723000000;713000000
ACGL;445596;USD;2023;Q4;2023-12-31;2024-02-23;2024-11-07;369600000;379800000;3975000000;-1637000000;1281000000;1188000000;1076000000;69000000;2333000000;;2334000000;2324000000
ACGL;445596;USD;2024;Q1;2024-03-31;2024-05-09;2025-05-07;370900000;380500000;3941000000;-1728000000;1169000000;1166000000;-101000000;55000000;1120000000;;1120000000;1110000000
ACGL;445596;USD;2024;Q2;2024-06-30;2024-08-06;2025-08-05;372700000;381600000;4229000000;-1827000000;1355000000;1321000000;-97000000;45000000;1269000000;;1269000000;1259000000
ACGL;445596;USD;2024;Q3;2024-09-30;2024-11-07;2025-11-06;373200000;382300000;4722000000;-2403000000;1148000000;1050000000;-98000000;36000000;988000000;;988000000;978000000
ACGL;445596;USD;2024;Q4;2024-12-31;2025-02-27;2025-11-06;373200000;382800000;4548000000;-2384000000;868000000;937000000;-66000000;64000000;935000000;;935000000;925000000
AFG;485236;USD;2020;Q1;2020-03-31;2020-05-11;2021-05-07;90300000;90300000;1055000000;-707000000;-125000000;-185000000;41000000;;-144000000;-160000000;-301000000;-301000000
AFG;485236;USD;2020;Q2;2020-06-30;2020-08-06;2021-08-06;89700000;90000000;1445000000;-771000000;223000000;140000000;-37000000;;103000000;64000000;177000000;177000000
AFG;485236;USD;2020;Q3;2020-09-30;2020-11-05;2021-11-05;88200000;88500000;1556000000;-963000000;153000000;40000000;48000000;;88000000;76000000;164000000;164000000
AFG;485236;USD;2020;Q4;2020-12-31;2021-02-25;2021-11-05;86600000;88000000;1713000000;-830000000;176000000;344000000;-77000000;;267000000;427000000;692000000;692000000
AFG;485236;USD;2021;Q1;2021-03-31;2021-05-07;2022-05-09;85900000;86600000;1509000000;-667000000;423000000;335000000;-68000000;;267000000;152000000;419000000;419000000
AFG;485236;USD;2021;Q2;2021-06-30;2021-08-06;2022-08-05;85900000;86600000;1531000000;-714000000;388000000;288000000;-48000000;;240000000;762000000;1002000000;1002000000
AFG;485236;USD;2021;Q3;2021-09-30;2021-11-05;2022-11-04;84800000;85200000;1754000000;-954000000;291000000;267000000;-48000000;;219000000;;219000000;219000000
AFG;485236;USD;2021;Q4;2021-12-31;2022-02-25;2022-11-04;84800000;85200000;1758000000;-822000000;887000000;445000000;-90000000;;355000000;0;355000000;355000000
AFG;485236;USD;2022;Q1;2022-03-31;2022-05-09;2023-05-05;84920965;85200000;1588000000;-693000000;384000000;361000000;-71000000;;290000000;;290000000;290000000
AFG;485236;USD;2022;Q2;2022-06-30;2022-08-05;2023-08-04;84920965;85200000;1539000000;-774000000;333000000;206000000;-39000000;;167000000;;167000000;167000000
AFG;485236;USD;2022;Q3;2022-09-30;2022-11-04;2023-11-03;84920965;85200000;1984000000;-1176000000;363000000;210000000;-45000000;;165000000;;165000000;165000000
AFG;485236;USD;2022;Q4;2022-12-31;2023-02-24;2023-11-03;86345246;89200000;1929000000;-986000000;516000000;346000000;-70000000;;276000000;;276000000;276000000
AFG;485236;USD;2023;Q1;2023-03-31;2023-05-05;2024-05-03;85200000;85400000;1740000000;-820000000;447000000;264000000;-52000000;;212000000;;212000000;212000000
AFG;485236;USD;2023;Q2;2023-06-30;2023-08-04;2024-08-08;84859000;85200000;1840000000;-905000000;450000000;255000000;-55000000;;200000000;;200000000;200000000
AFG;485236;USD;2023;Q3;2023-09-30;2023-11-03;2024-11-08;84136000;84700000;2164000000;-1239000000;428000000;219000000;-42000000;;177000000;;177000000;177000000
AFG;485236;USD;2023;Q4;2023-12-31;2024-02-23;2024-11-08;84605000;83900000;2083000000;-1069000000;534000000;335000000;-72000000;;263000000;;263000000;263000000
AFG;485236;USD;2024;Q1;2024-03-31;2024-05-03;2025-05-08;83700000;83800000;1906000000;-912000000;491000000;304000000;-62000000;;242000000;;242000000;242000000
AFG;485236;USD;2024;Q2;2024-06-30;2024-08-08;2025-08-07;83900000;84000000;1900000000;-937000000;457000000;271000000;-62000000;;209000000;;209000000;209000000
AFG;485236;USD;2024;Q3;2024-09-30;2024-11-08;2025-11-06;83900000;83900000;2369000000;-1430000000;421000000;229000000;-48000000;;181000000;;181000000;181000000
AFG;485236;USD;2024;Q4;2024-12-31;2025-02-25;2025-11-06;84100000;84100000;2149000000;-1181000000;488000000;320000000;-65000000;;255000000;;255000000;255000000
AFL;62581;USD;2020;Q1;2020-03-31;2020-04-30;2021-04-29;724366000;727512000;5162000000;-2939000000;775000000;720000000;-154000000;;566000000;;566000000;566000000
AFL;62581;USD;2020;Q2;2020-06-30;2020-07-29;2021-07-29;717889000;719764000;5407000000;-2897000000;1133000000;1070000000;-265000000;;805000000;;805000000;805000000
AFL;62581;USD;2020;Q3;2020-09-30;2020-10-29;2021-10-28;711698000;713793000;5665000000;-2985000000;1216000000;1153000000;1303000000;;2456000000;;2456000000;2456000000
AFL;62581;USD;2020;Q4;2020-12-31;2021-02-23;2021-10-28;700855000;703699000;5913000000;-2974000000;1278000000;1217000000;-265000000;;952000000;;952000000;952000000
AFL;62581;USD;2021;Q1;2021-03-31;2021-04-29;2022-04-29;688938000;691940000;5869000000;-2735000000;1665000000;1603000000;-310000000;;1293000000;;1293000000;1293000000
AFL;62581;USD;2021;Q2;2021-06-30;2021-07-29;2022-08-02;688938000;691940000;5564000000;-2653000000;1435000000;1373000000;-268000000;;1105000000;;1105000000;1105000000
AFL;62581;USD;2021;Q3;2021-09-30;2021-10-28;2022-11-02;659100000;662512000;5237000000;-2609000000;1170000000;1113000000;-225000000;;888000000;;888000000;888000000
AFL;62581;USD;2021;Q4;2021-12-31;2022-02-23;2022-11-02;659100000;662512000;4884000000;-3736000000;1175000000;1118000000;-173000000;;945000000;;945000000;945000000
AFL;62581;USD;2022;Q1;2022-03-31;2022-04-29;2023-05-01;659100000;662512000;5173000000;-2517000000;1316000000;1294000000;-247000000;;1047000000;;1047000000;1047000000
AFL;62581;USD;2022;Q2;2022-06-30;2022-08-02;2023-08-02;640707000;643243000;5315000000;-2299000000;1763000000;1708000000;-314000000;;1394000000;;1394000000;1394000000
AFL;62581;USD;2022;Q3;2022-09-30;2022-11-02;2023-11-02;629350000;631946000;4704000000;;1388000000;1329000000;452000000;;1781000000;;1781000000;1781000000
AFL;62581;USD;2022;Q4;2022-12-31;2023-02-24;2023-11-02;765311000;769215000;3948000000;-10004000000;593000000;538000000;-342000000;;196000000;;196000000;196000000
AFL;62581;USD;2023;Q1;2023-03-31;2023-05-01;2024-05-02;611205000;613950000;4800000000;-2430000000;1390000000;1342000000;-154000000;;1188000000;;1188000000;1188000000
AFL;62581;USD;2023;Q2;2023-06-30;2023-08-02;2024-08-01;600742000;602929000;5172000000;-2366000000;1876000000;1825000000;-191000000;;1634000000;;1634000000;1634000000
AFL;62581;USD;2023;Q3;2023-09-30;2023-11-02;2024-11-01;591246000;593596000;4950000000;-2110000000;1854000000;1805000000;-236000000;;1569000000;;1569000000;1569000000
AFL;62581;USD;2023;Q4;2023-12-31;2024-02-22;2024-11-01;581499000;584505000;3778000000;-2358000000;337000000;290000000;-22000000;;268000000;;268000000;268000000
AFL;62581;USD;2024;Q1;2024-03-31;2024-05-02;2025-05-07;574886000;577482000;5436000000;-2265000000;2217000000;2170000000;-291000000;;1879000000;;1879000000;1879000000
AFL;62581;USD;2024;Q2;2024-06-30;2024-08-01;2025-08-05;564573000;566838000;5138000000;-2167000000;2069000000;2019000000;-264000000;;1755000000;;1755000000;1755000000
AFL;62581;USD;2024;Q3;2024-09-30;2024-11-01;2025-11-05;557899000;560414000;2949000000;-1846000000;142000000;92000000;-185000000;;-93000000;;-93000000;-93000000
AFL;62581;USD;2024;Q4;2024-12-31;2025-02-26;2025-11-05;552610000;555326000;5403000000;-2170000000;2185000000;2135000000;-233000000;;1902000000;;1902000000;1902000000
ARGO;6767761;USD;2022;Q1;2022-03-31;2022-05-06;2023-05-09;34891935;34891935;483800000;-283600000;20700000;12000000;-13000000;;-1000000;;-1000000;-3600000
ARGO;6767761;USD;2022;Q2;2022-06-30;2022-08-09;2023-08-08;34964773;34964773;443200000;-276000000;-8300000;-4100000;-12100000;;-16200000;;-16200000;-18900000
ARGO;6767761;USD;2022;Q3;2022-09-30;2022-11-09;2023-11-09;35014182;35014182;444300000;-298800000;-26600000;-52800000;4000000;;-48800000;;-48800000;-51400000
ARGO;6767761;USD;2022;Q4;2022-12-31;2023-03-06;2025-03-25;35051542;35051542;383700000;-308500000;-118700000;-138300000;29100000;;-109200000;;-109200000;-111800000
ARGO;6767761;USD;2023;Q1;2023-03-31;2023-05-09;2024-05-09;35099968;35099968;401700000;-284600000;-31100000;-42300000;8500000;;-33800000;;-33800000;-36400000
ARGO;6767761;USD;2023;Q2;2023-06-30;2023-08-08;2024-08-09;35176248;35176248;364300000;-241400000;5300000;-3600000;5800000;;2200000;;2200000;-500000
ARGO;6767761;USD;2023;Q3;2023-09-30;2023-09-09;2024-11-14;35197824;35197824;378400000;-280900000;-23900000;-29300000;-17600000;;-46900000;;-46900000;-49500000
ARGO;6767761;USD;2023;Q4;2023-12-31;2024-03-19;2025-03-25;35166679;35197824;190600000;-94200000;6300000;2200000;-1300000;;900000;;900000;900000
ARGO;6767761;USD;2024;Q1;2024-03-31;2024-05-09;2025-05-08;35166679;35197824;378700000;-220000000;33900000;27200000;-1600000;;25600000;;25600000;23000000
ARGO;6767761;USD;2024;Q2;2024-06-30;2024-08-09;2025-08-07;35166679;35197824;380700000;-226700000;32100000;18300000;-5600000;;12700000;;12700000;10000000
ARGO;6767761;USD;2024;Q3;2024-09-30;2024-11-14;2024-11-14;35166679;35197824;296400000;-346800000;-161100000;-166700000;34400000;;-132300000;;-132300000;-134900000
ARGO;6767761;USD;2024;Q4;2024-12-31;2025-03-25;2024-11-14;35166679;35197824;303800000;-224800000;-58100000;-69100000;15000000;;-54100000;;-54100000;-56700000
BHF;696260;USD;2020;Q1;2020-03-31;2020-05-11;2021-05-10;104759339;105093515;8985000000;-1446000000;6252000000;6252000000;-1293000000;;4959000000;;4957000000;4950000000
BHF;696260;USD;2020;Q2;2020-06-30;2020-08-07;2021-08-06;94698169;94698169;-922000000;-1115000000;-2522000000;-2522000000;531000000;;-1991000000;;-1991000000;-1998000000
BHF;696260;USD;2020;Q3;2020-09-30;2020-11-06;2021-11-05;92693188;92693188;309000000;-3328000000;-3843000000;-3843000000;850000000;;-2993000000;;-2995000000;-3012000000
BHF;696260;USD;2020;Q4;2020-12-31;2021-02-24;2021-11-05;89252592;88918416;131000000;-914000000;-1306000000;-1306000000;275000000;;-1031000000;;-1032000000;-1045000000
BHF;696260;USD;2021;Q1;2021-03-31;2021-05-10;2022-05-10;87573444;87573444;938000000;-1053000000;-768000000;-768000000;185000000;;-583000000;;-585000000;-610000000
BHF;696260;USD;2021;Q2;2021-06-30;2021-08-06;2022-08-05;85495807;84951852;1676000000;-1039000000;21000000;21000000;10000000;;31000000;;31000000;10000000
BHF;696260;USD;2021;Q3;2021-09-30;2021-11-05;2022-11-08;82701032;83244987;2512000000;-1525000000;490000000;490000000;-105000000;;385000000;;383000000;361000000
BHF;696260;USD;2021;Q4;2021-12-31;2022-02-24;2022-11-08;75033845;77209665;-150000000;-398000000;2266000000;2266000000;-451000000;;1815000000;;1814000000;1793000000
BHF;696260;USD;2022;Q1;2022-03-31;2022-05-10;2023-05-09;77870072;80244577;2013000000;-923000000;2003000000;2003000000;-416000000;;1587000000;;1585000000;1558000000
BHF;696260;USD;2022;Q2;2022-06-30;2022-08-05;2023-08-09;77870072;80244577;3866000000;-284000000;2894000000;2177000000;-432000000;;1745000000;;1745000000;1719000000
BHF;696260;USD;2022;Q3;2022-09-30;2022-11-08;2023-11-08;74570237;74971658;1121000000;-939000000;512000000;512000000;-97000000;;415000000;;413000000;388000000
BHF;696260;USD;2022;Q4;2022-12-31;2023-02-23;2023-11-08;81169907;102403816;-127000000;-668000000;40000000;40000000;97000000;;137000000;;136000000;110000000
BHF;696260;USD;2023;Q1;2023-03-31;2023-05-09;2024-05-08;67873189;67873189;1284000000;-1109000000;-653000000;-653000000;156000000;;-497000000;;-499000000;-525000000
BHF;696260;USD;2023;Q2;2023-06-30;2023-08-09;2024-08-08;66722046;66722046;263000000;-452000000;452000000;-237000000;62000000;;-175000000;;-175000000;-200000000
BHF;696260;USD;2023;Q3;2023-09-30;2023-11-08;2024-11-08;64703557;65744351;1170000000;-426000000;1180000000;590000000;-109000000;;481000000;;479000000;453000000
BHF;696260;USD;2023;Q4;2023-12-31;2024-02-22;2024-11-08;64755788;64755788;1400000000;-3201000000;-3140000000;-1174000000;258000000;;-916000000;;-917000000;-942000000
BHF;696260;USD;2024;Q1;2024-03-31;2024-05-08;2025-05-09;63036773;63036773;74000000;-1470000000;-614000000;-614000000;123000000;;-491000000;;-493000000;-519000000
BHF;696260;USD;2024;Q2;2024-06-30;2024-08-08;2025-08-08;61956829;62255330;1427000000;-509000000;656000000;14000000;20000000;;34000000;;34000000;9000000
BHF;696260;USD;2024;Q3;2024-09-30;2024-11-08;2025-11-07;60600840;60949819;2018000000;-556000000;210000000;188000000;-10000000;;178000000;;176000000;150000000
